label,translation
Minnesota gubernatorial election  2018,Élection de gouverneur de Minnesota 2018
Chahamanas of Shakambhari,Chahamanas de Shakambhari
2007 Punjab Legislative Assembly election,Élection à l législatif de Pendjab de 2007
Punjab Legislative Assembly election  2007,Élection à l législatif de Pendjab 2007
Fegato alla Veneziana,Fegato aller Veneziana
1972 United States presidential election in Mississippi,Élection présidentiel américain de 1972 dans le Mississippi
United States presidential election in Mississippi  1972,Élection présidentiel américain de 1972 dans le Mississippi
1976 United States presidential election in Mississippi,Élection présidentiel américain de 1976 dans le Mississippi
United States presidential election in Mississippi  1976,Élection présidentiel américain de 1976 dans le Mississippi
1974 United States vice presidential confirmation,1974 Confirmation de le vice-présidence de États-Unis
United States vice presidential selection  1974,Sélection de vice-président de États-Unis 1974
Japanese fried rice,Riz frire japonais
FC VPK-Ahro Shevchenkivka,FC VPK-Ahro Shevchenkivka
Highlander cat,Chat Highlander
swimming at the 2016 Summer Olympics – men's 100 metre butterfly,natation à Jeu olympique d de 2016 - 100 mètre papillon homme
swimming at the 2016 Summer Olympics - men's 100 metre butterfly,natation à Jeu olympique d de 2016 - 100 mètre papillon homme
wrestling at the 2016 Summer Olympics – men's freestyle 86 kg,Lutte à Jeu olympique d de 2016 - 86 kilogramme libre homme
wrestling at the 2016 Summer Olympics - men's freestyle 86 kg,Lutte à Jeu olympique d de 2016 - 86 kilogramme nage libre homme
Sony Xperia XZ,Sony Xperia XZ
Kett's Rebellion,Le rébellion de Kett
2018 United States Senate election in Michigan,Élection sénatoriale américaine de 2018 dans le Michigan
United States Senate election in Michigan  2018,Élection sénatoriale américaine dans le Michigan 2018
2018 United States Senate election in Minnesota,Élection sénatoriale américaine de 2018 dans le Minnesota
United States Senate election in Minnesota  2018,Élection sénatoriale américaine dans le Minnesota 2018
2018 Vermont gubernatorial election,Élection de gouverneur de Vermont de 2018
Vermont gubernatorial election  2018,Élection de gouverneur de Vermont 2018
2018 New Hampshire gubernatorial election,Élection de gouverneur de New Hampshire de 2018
New Hampshire gubernatorial election  2018,Élection de gouverneur de New Hampshire 2018
United States presidential elections in Illinois,Élection présidentiel américain en Illinois
United States presidential elections in New Mexico,Élection présidentiel américain au Nouveau-Mexique
United States presidential elections in South Carolina,Élection présidentiel américain en Caroline de Sud
United States presidential elections in Virginia,Élection présidentiel américain en Virginie
1976 United States presidential election in South Carolina,Élection présidentiel américain de 1976 en Caroline de Sud
United States presidential election in South Carolina  1976,Élection présidentiel américain de 1976 en Caroline de Sud
1964 United States presidential election in the District of Columbia,Élection présidentiel américain de 1964 dans le district de Columbia
United States presidential election in the District of Columbia  1964,Élection présidentiel américain dans le district de Columbia en 1964
1976 United States presidential election in Iowa,Élection présidentiel américain de 1976 dans l
United States presidential election in Iowa  1976,Élection présidentiel américain de 1976 dans l
1982 West Bengal Legislative Assembly election,1982 Élection à l législatif de Bengale-Ouest
West Bengal Legislative Assembly election  1982,Élection à l législatif de Bengale-Ouest 1982
2018 United States House of Representatives elections in Arizona,Élection de 2018 à le Chambre de représentant de États-Unis en Arizona
United States House of Representatives elections in Arizona  2018,Élection de le Chambre de représentant de États-Unis en Arizona 2018
CONMEBOL Sudamericano Sub-20,CONMEBOL Sudamericano Sub-20
Shiga United Baseball club,Le club de base-ball de Shiga United
2017 Tokyo prefectural election,Élection préfectoral de Tokyo 2017
Tokyo prefectural election  2017,Élection préfectorale de Tokyo 2017
2018 Men's World Ice Hockey Championships,Championnat de monde de hockey sur glace masculin 2018
2017 FIFA Confederations Cup squads,Coupe de confédération 2017
All India Institute of Ayurveda  Delhi,Tout le Inde Institut d Delhi
2018 Mizoram Legislative Assembly election,Élection de l législatif de Mizoram de 2018
Mizoram Legislative Assembly election  2018,Élection à l législatif de Mizoram 2018
2018 Meghalaya Legislative Assembly election,2018 Meghalaya Élection à l législatif
Meghalaya Legislative Assembly election  2018,Élection à l législatif de Meghalaya 2018
2002 Uttar Pradesh Legislative Assembly election,Élection de l législatif de l Pradesh en 2002
Uttar Pradesh Legislative Assembly election  2002,Élection à l législatif de l Pradesh 2002
1964 United States presidential election in Florida,Élection présidentiel américain de 1964 en Floride
United States presidential election in Florida  1964,Élection présidentiel américain en Floride 1964
West of England mayoral election  2021,Élection à le mairie de l de l 2021
Christopher Kimball's Milk Street,Rue de lait de Christopher Kimball
2018 Georgia Secretary of State election,2018 Élection de secrétaire d de Géorgie
Georgia Secretary of State election  2018,Élection de secrétaire d de le Géorgie 2018
1960 United States presidential election in Michigan,Élection présidentiel américain de 1960 dans le Michigan
United States presidential election in Michigan  1960,Élection présidentiel américain dans le Michigan 1960
2017 League of Legends World Championship,Championnat de Monde de League of Legends 2017
League of Legends Japan League,Ligue de Légendes Japon
Moon Jae-in Government,Gouvernement Moon Jae-in
United States House of Representatives elections in New Jersey  2018,Élection de le Chambre de représentant de États-Unis dans le New Jersey 2018
2022 Hong Kong Chief Executive election,Élection de chef de l de Hong Kong en 2022
Hong Kong Chief Executive election  2022,Élection de chef de l à Hong Kong 2022
2021 FIBA AmeriCup,americup de le FIBA 2021
Breiðablik men's football,Breiðablik football masculin
fell running,Chute en cours d
hill running,cours de côte
2018 United States House of Representatives elections in Wisconsin,Élection de 2018 à le Chambre de représentant de États-Unis dans le Wisconsin
United States House of Representatives elections in Wisconsin  2018,Élection de le Chambre de représentant de États-Unis dans le Wisconsin 2018
2019–21 ICC Test Championship,Championnat d ICC 2019–21
2019-21 ICC Test Championship,Championnat d ICC 2019-21
Parabon NanoLabs,nanolabs de Parabon
Office of the President of the Philippines,Bureau de Président de Philippine
SF Motors,Moteurs SF
Everyone for Mexico,Tout le monde pour le Mexique
Baseball Hall of Fame balloting  2019,Bulletin de vote au Temple de le renommée de baseball 2019
Tales of Arcadia,Conte d
Visakha FC,Le Cité de Ciel
2020 United States Senate election in Michigan,Élection sénatoriale américaine de 2020 dans le Michigan
United States Senate election in Michigan  2020,Élection sénatoriale américaine dans le Michigan 2020
2020 United States Senate election in Illinois,Élection sénatoriale américaine de 2020 dans l
United States Senate election in Illinois  2020,Élection sénatoriale américaine dans l 2020
2020 United States Senate election in New Mexico,Élection sénatoriale américaine de 2020 au Nouveau-Mexique
United States Senate election in New Mexico  2020,Élection sénatorial américaine au Nouveau-Mexique 2020
2020 United States Senate election in New Hampshire,Élection sénatoriale américaine de 2020 dans le New Hampshire
United States Senate election in New Hampshire  2020,Élection sénatoriale américaine dans le New Hampshire 2020
2020 United States Senate election in South Dakota,Élection sénatoriale américaine de 2020 dans le Dakota de Sud
United States Senate election in South Dakota  2020,Élection sénatoriale américaine dans le Dakota de Sud 2020
electoral history of Vladimir Putin,histoire électoral de Vladimir Poutine
2023 Czech presidential election,Élection présidentiel tchèque de 2023
Lady the butterfly,Dame le papillon
Karisi flowers,Fleur de Karisi
GES-2 in Moscow,GES-2 à Moscou
Xperia XZ2 Compact,Xperia XZ2 Plus
Sony Xperia XZ2 Compact,Sony Xperia XZ2 Compact
Xperia XZ 2 Compact,Xperia XZ 2 Plus
Sony Xperia XZ 2 Compact,Sony Xperia XZ 2 Plus
XZ 2 Compact,XZ 2 Plus
XZ2 Compact,XZ2 Plus
Ministry of Culture and Tourism of the People's Republic of China,Ministère de le Culture et de Tourisme de Peuple **
Shift GmbH,Espace client
nokia 7 plus,Nokia 7 Plus
2022 Colombian presidential election,Élection présidentiel colombien de 2022
MG Gloster,MG Gloster
Roewe RX8,Roewe RX8
2018 MLB Japan All-Star Series,MLB Japan All-Star Series 2018
BlackBerry KEY2,blackberry CLÉ2
2020 North Carolina lieutenant gubernatorial election,Élection de lieutenant-gouverneur de le Caroline de Nord en 2020
North Carolina lieutenant gubernatorial election  2020,Élection de lieutenant-gouverneur de le Caroline de Nord 2020
Next Turkish parliamentary election,Prochain élection législatif turc
White House Office of Presidential Personnel,Bureau de personnel présidentiel de le Maison-Blanche
Office of Presidential Personnel,Bureau de personnel présidentiel
Deccan Chargers in 2009,Chargeur Deccan en 2009
2019 Washington Nationals season,Saison de National de Washington 2019
Associazione Sportiva Dilettantistica Città di Nocera 1910,Associazione Sportiva Dilettantistica Città di Nocera 1910
A.S.D. Città di Nocera 1910,A.S.D. Città di Nocera 1910
Città di Nocera,Città di Nocera
pit beef,bœuf de pit
capital punishment in Czechoslovakia,Le peine capital en Tchécoslovaquie
Uranium One controversy,Controverse sur l One
2018 Anchorage earthquake,Séisme à Anchorage en 2018
Popular Front for the Liberation of Libya,Front populaire pour le libération de le Libye
2020 United States presidential election in New Hampshire,Élection présidentiel américain de 2020 dans le New Hampshire
1940 United States presidential election in Texas,Élection présidentiel américain de 1940 au Texa
2019–21 ICC Cricket World Cup League 2,2019–21 ICC Coupe de Monde de Cricket Ligue 2
2019-21 ICC Cricket World Cup League 2,2019-21 ICC Coupe de Monde de Cricket Ligue 2
2018 Wisconsin State Assembly election,Élection de l de l de Wisconsin en 2018
2020 Summer Olympics torch relay,Relais de le flamme de Jeu olympique d 2020
2020 Taiwan general election,Élection général de 2020 à Taïwan
2018 US Open – Women's Singles final,US Open 2018 – Finale de simple dame
2022 NBA All-Star Game,Match de étoile de le NBA 2022
EE Wembley Cup,Coupe de Wembley EE
2019 Virginia House of Delegates election,Élection de le Chambre de délégué de Virginie 2019
2019 Grand Slam of Darts,Grand Chelem de fléchette 2019
2019 Haryana Legislative Assembly election,Élection à l législatif de 2019 dans l
Haryana Legislative Assembly election  2019,Élection à l législatif de l 2019
2019 Indian general election in Uttar Pradesh,Élection général indien de 2019 dans l Pradesh
2019 ISSF World Cup,Coupe de Monde ISSF 2019
Food block,Bloc alimentaire
Antifa in Germany,Antifa en Allemagne
2019 Asian Men's Volleyball Championship,Championnat d de volley-ball masculin 2019
2019 Indian general election in Bihar,Élection général indien de 2019 au Bihar
2019 Indian general election in Madhya Pradesh,Élection général indien de 2019 dans le Madhya Pradesh
2019 Indian general election in Haryana,Élection général indien de 2019 dans l
The Secret Life of Pets,Le vie secret de animal de compagnie
UNIR Constitutional Nationalist Party,UNIR Parti nationaliste constitutionnel
football at the 2019 Southeast Asian Games – men's tournament,football à Jeu d de Sud-Est de 2019 – tournoi masculin
football at the 2019 Southeast Asian Games - men's tournament,football à Jeu de l de Sud-Est de 2019 - tournoi masculin
shooting at the 2020 Summer Olympics – men's 10 metre air rifle,fusillade à Jeu olympique d de 2020 – carabin à air comprimé masculin 10 mètre
shooting at the 2020 Summer Olympics - men's 10 metre air rifle,fusillade à Jeu olympique d de 2020 - fusil à air 10 mètre pour homme
swimming at the 2020 Summer Olympics – women's 100 metre breaststroke,natation à Jeu olympique d de 2020 - 100 mètre brasse femme
swimming at the 2020 Summer Olympics - women's 100 metre breaststroke,natation à Jeu olympique d de 2020 - 100 mètre brasse femme
swimming at the 2020 Summer Olympics – women's 200 metre freestyle,natation à Jeu olympique d de 2020 – 200 mètre nage libre féminin
swimming at the 2020 Summer Olympics - women's 200 metre freestyle,natation à Jeu olympique d de 2020 - 200 mètre nage libre femme
swimming at the 2020 Summer Olympics – men's 200 metre freestyle,natation à Jeu olympique d de 2020 – 200 mètre nage libre homme
swimming at the 2020 Summer Olympics - men's 200 metre freestyle,natation à Jeu olympique d de 2020 - 200 mètre nage libre homme
Naver TV,Télévision
Naver TV Cast,Télévision de Naver
Palm Springs AHL team,Équipe de Palm Springs AHL
Seattle AHL Affiliate,Affilier de Seattle AHL
AZ Picerno A.S.D.,AZ Picerno A.S.D.
2019–20 Tamil Nadu Legislative Assembly by-election,Élection partiel de 2019-2020 à l législatif de Tamil Nadu
2021 South African municipal elections,Élection municipal sud-africain de 2021
Results of the 2019 Australian federal election,Résultat de élection fédéral australien 2019
2020 Nevada Democratic caucuses,Caucus démocrate de Nevada 2020
2020 Baltimore mayoral election,Élection à le mairie de Baltimore en 2020
next Venezuelan presidential election,prochain élection présidentiel vénézuélien
Tally.ERP 9,Tally.ERP 9
2023 New South Wales state election,2023 Nouveau-Galles de Sud élection dans l
2022 Nevada gubernatorial election,Élection de gouverneur de Nevada de 2022
Element AI,Élément AI
karate at the 2020 Summer Olympics – men's 75 kg,karater à Jeu olympique d de 2020 - 75 kilogramme homme
karate at the 2020 Summer Olympics - men's 75 kg,karater à Jeu olympique d de 2020 - 75 kilogramme homme
Karate at the 2020 Summer Olympics – Men's 75 kg,Karaté à Jeu olympique d de 2020 - 75 kilogramme homme
JouZen Oy,jouzen de l
equestrian at the 2020 Summer Olympics – team dressage,Équitation à Jeu olympique d de 2020 – dressag par équipe
equestrian at the 2020 Summer Olympics - team dressage,Équitation à Jeu olympique d de 2020 - dressage par équipe
equestrian at the 2020 Summer Olympics – individual eventing,Équitation à Jeu olympique d de 2020 – concours complet individuel
equestrian at the 2020 Summer Olympics - individual eventing,Équitation à Jeu olympique d de 2020 - concours complet individuel
shooting at the 2020 Summer Olympics – mixed 10 metre air pistol,tir à Jeu olympique d de 2020 – pistolet à air mixte de 10 mètre
shooting at the 2020 Summer Olympics - mixed 10 metre air pistol,tir à Jeu olympique d de 2020 - pistolet à air mixte de 10 mètre
shooting at the 2020 Summer Olympics – mixed 10 metre air pistol team,tir à Jeu olympique d de 2020 – équipe mixte de pistolet à air comprimer de 10 mètre
triathlon at the 2020 Summer Olympics – mixed relay,triathlon à Jeu olympique d de 2020 – reler mixte
triathlon at the 2020 Summer Olympics - mixed relay,triathlon à Jeu olympique d de 2020 - reler mixte
skateboarding at the 2020 Summer Olympics – women's street,Skateboard à Jeu olympique d de 2020 – rue de femme
skateboarding at the 2020 Summer Olympics - women's street,planche à roulette à Jeu olympique d de 2020 - rue de femme
taekwondo at the 2020 Summer Olympics – women's 49 kg,taekwondo à Jeu olympique d de 2020 - 49 kilogramme femme
taekwondo at the 2020 Summer Olympics - women's 49 kg,taekwondo à Jeu olympique d de 2020 - 49 kilogramme chez le femme
Xiaomi Mi MIX Alpha,Xiaomi Mi MIX Alpha
2019 Istanbul earthquake,Séisme à Istanbul en 2019
2019 Cotabato earthquakes,Séismes de Cotabato en 2019
2020 1. divisjon,2019 1. voyeur
Joker stairs,Escalier de Joker
Joker steps,Étape de Joker
West 167th Street Stairs,Escalier Ouest de le 167 rue
2019 Wimbledon Championships – Men's singles final,Championnat de Wimbledon 2019 – Finale de simple masculin
2020 Moto3 season,Saison 2020 Moto3
2021 UEFA European Under-17 Championship,Championnat d un moins de 17 an de l 2021
UEFA Under 17 Championship 2021,Championnat de l de moins de 17 an 2021
wrestling at the 2020 Summer Olympics – men's freestyle 86 kg,Lutte à Jeu olympique d de 2020 - 86 kilogramme libre homme
wrestling at the 2020 Summer Olympics - men's freestyle 86 kg,lutte à Jeu olympique d de 2020 - style libre homme 86 kilogramme
Wrestling at the 2020 Summer Olympics – Men's freestyle 86 kg,Lutte à Jeu olympique d de 2020 - nage libre homme 86 kilogramme
wrestling at the 2020 Summer Olympics – men's freestyle 74 kg,lutte à Jeu olympique d de 2020 - 74 kilogramme nage libre homme
wrestling at the 2020 Summer Olympics - men's freestyle 74 kg,lutte à Jeu olympique d de 2020 - 74 kilogramme nage libre homme
Wrestling at the 2020 Summer Olympics – Men's freestyle 74 kg,Lutte à Jeu olympique d de 2020 - 74 kilogramme nage libre homme
wrestling at the 2020 Summer Olympics – women's freestyle 57 kg,lutte à Jeu olympique d de 2020 - nage libre femme 57 kilogramme
wrestling at the 2020 Summer Olympics - women's freestyle 57 kg,lutte à Jeu olympique d de 2020 - nage libre femme 57 kilogramme
Wrestling at the 2020 Summer Olympics – Women's freestyle 57 kg,Lutte à Jeu olympique d de 2020 - nage libre femme 57 kilogramme
2020 FIBA Men's Olympic Qualifying Tournaments – Kaunas,Tournoi de qualification olympique masculin de le FIBA 2020 – Kauna
first impeachment trial of Donald Trump,premier procès en destitution de Donald Trump
impeachment trial of Donald Trump,procès en destitution de Donald Trump
Ethiopian Citizens for Social Justice,Citoyen éthiopien pour le justice social
2024 Indonesian presidential election,Élection présidentiel indonésien de 2024
Next Indonesian presidential election,Prochain élection présidentiel indonésien
2020 Super GT Series,Série Super GT 2020
Call of Duty League,Le Ligue Call of Duty
2020 ACC Men's Basketball Tournament,Tournoi de basketball masculin de l 2020
2020 England and Wales police and crime commissioner elections,Élection 2020 un commissaire de police et de criminalité en Angleterre et au Pays de Galles
2020 PGA Tour Champions season,Saison 2020 de champion de circuit de le PGA
2020 Southeastern Conference football season,Saison 2020 de football de le Southeastern Conference
2020 t20 Blast,2020 t20 Explosion
2022 Punjab Legislative Assembly election,Élection à l législatif de Pendjab en 2022
Pure ETCR,Pur ETCR
Ice hockey at the 2022 Winter Olympics – Women's qualification,Hockey sur glace à Jeu olympique d de 2022 – Qualification féminin
2022 United States Senate election in Connecticut,Élection sénatoriale de 2022 à États-Unis dans le Connecticut
2020 UCI Track Cycling World Championships – men's keirin,Championnat de monde de cyclisme sur piste UCI 2020 – keirin masculin
2020 UCI Track Cycling World Championships - men's keirin,Championnat de Monde Piste UCI 2020 - keirin homme
2022 UEFA Super Cup,Supercoupe de l 2022
2020–21 Hockeyallsvenskan season,Saison 2020–21 Hockeyallsvenskan
2020-21 Hockeyallsvenskan season,Saison 2020-21 de Hockeyallsvenskan
2020 Salt Lake City earthquake,Séisme à Salt Lake City en 2020
2020 Magna earthquake,Tremblement de terre à Magna en 2020
COVID-19 pandemic in Tokyo,Pandémie de COVID-19 à Tokyo
2020 Chinese Professional Baseball League season,Saison 2020 de le Ligue chinois de baseball professionnel
2020 CPBL season,Saison 2020 de CPBL
OnePlus 8,oneplu 7 Plus
2020 Depok mayor election,Élection de maire de Depok en 2020
Toronto NWHL team,Équipe de le NWHL de Toronto
2020 English Football League play-offs,Play-off de le Ligue anglaise de football 2020
2020 Pennsylvania State Treasurer election,Élection de trésorier de l de Pennsylvanie 2020
2021 Cleveland mayoral election,Élection à le mairie de Cleveland en 2021
2021 Men's Ice Hockey World Championships,Championnat de monde de hockey sur glace masculin 2021
2022 AFC U-23 Championship,Championnat U-23 de l 2022
LG Velvet,LG Velours
World's Ultimate Strongman,L fort ultime de monde
2020 Puerto Rico gubernatorial election,Élection de gouverneur de Porto Rico de 2020
2020 Surabaya mayoral election,Élection de le mairie de Surabaya 2020
2020 FIM CEV Moto3 Junior World Championship,Championnat de Monde FIM CEV Moto3 Junior 2020
UNIR Movement,Mouvement de l
radical politics,politique radical
political radicalism,radicalisme politique
2020–21 VTB United League,2020-2021 VTB United League
1969 West Bengal Legislative Assembly election,1969 Élection à l législatif de Bengale-Ouest
Samsung Galaxy A21s,Samsung Galaxy A21s
2020 Masbate earthquake,Séisme à Masbate en 2020
smoking-related lung disease,maladie pulmonaire lier au tabagisme
Byzantine Empire under the Isaurian dynasty,Empire byzantin sous le dynastie isaurienn
Presidential transition of Joe Biden,Le transition présidentiel de Joe Biden
2020 Kerala local body elections,Élection local de 2020 au Kerala
PuraOre! Pride of Orange,puraor ! Fierté d
2020-21 CEV Women's Champions League,Ligue de champion féminin de le CEV 2020-21
2021 MotoE season,Saison 2021 motoe
2022 AFC Cup,Coupe de l 2022
Vivo IPL 2021,Vivo IPL 2021
Pirates and Mayors,Pirate et maire
2020–21 Supercopa de España Final,2020–21 Supercopa de España Final
2021 WAC Men's Basketball Tournament,Tournoi de basket-ball masculin 2021
2021 FIBA Intercontinental Cup,Coupe intercontinental de le FIBA 2021
Punjab FC,Punjab FC
2022 United States Senate election in South Dakota,Élection sénatoriale de 2022 à États-Unis dans le Dakota de Sud
2022 South Dakota gubernatorial election,Élection de gouverneur de Dakota de Sud de 2022
2021 ARCA Menards Series,2021 Série ARCA Menards
2021 NHRA Camping World Drag Racing Series,2021 Série de course de drague de le NHRA Camping World
2021 ARCA Menards Series East,2021 Série ARCA Menards Être
2021 GT World Challenge Europe Endurance Cup,2021 GT World Challenge Europe Endurance Cup
2020 United States House of Representatives elections in Utah,Élection de 2020 à le Chambre de représentant de États-Unis dans l
2022 Kansas gubernatorial election,Élection de gouverneur de Kansas 2022
2021 FIVB Volleyball Men's U21 World Championship,Championnat de monde de volley-ball masculin U21 FIVB 2021
2026 United States Senate elections,Élection sénatorial à États-Unis en 2026
2021 Indoor Football League season,Saison 2021 de le Ligue de football en salle
2021 Paraguayan Primera División season,Saison 2021 Paraguayenne Primera División
Next Slovak parliamentary election,Prochain élection législatif slovaque
Mr DIY,M. Bricolage
2021 NCAA Division I baseball season,Saison 2021 de baseball de le division I de le NCAA
2021 AMA Supercross Championship,Championnat AMA Supercros 2021
2023 UEFA European Under-21 Championship qualification,2023 Championnat d un moins de 21 an de l
2021 NCAA Division I Baseball Tournament,Tournoi de baseball 2021 NCAA Division I
2021 Premier Lacrosse League season,Saison 2021 de le Premier Lacrosse League
2021 Overwatch League season,Saison 2021 de l League
2021 in ONE Championship,2021 en UN Championnat
Chicago House AC,Maison de Chicago
Chicago NISA,Chicago NISA
White House COVID-19 Response Team,Équipe d de le Maison-Blanche sur le COVID-19
2021 NCAA Division I FCS football season,Saison 2021 de football NCAA Division I FC
2021 United Nations Secretary-General selection,Sélection de Secrétaire général de l pour 2021
Stand Up.BG.,Levez-vous.BG.
2021 AIBA Youth World Boxing Championships,Championnat de monde de boxe jeunesse AIBA 2021
2021 Hartlepool by-election,Élection partiel de 2021 à Hartlepool
2021 Dublin Bay South by-election,Élection partiel de 2021 dans le baie de Dublin-Sud
FC Krasava,FC Krasava
Partido de la Gente Chile,Partido de le Gente Chili
2021–22 Ashes series,Série Cendre 2021–22
2021 Colombian Women's Football League,Ligue colombien de football féminin 2021
CoinSwitch Kuber,coinswitch de l
Takt op.,Takt op.
takt op.,takt op.
takt opus,takt opu
SR Brașov,RS Brașov
Pacto Histórico por Colombia,Pacto Histórico por Colombie
Jim Henson's Muppets,Le Muppet de Jim Henson
Badminton at the 2020 Summer Paralympics – Men's singles SL4,Badminton à Jeu paralympique d de 2020 – simple masculin SL4
Athletics at the 2020 Summer Paralympics – Men's javelin throw,Athlétisme à Jeu paralympique d de 2020 – Lancer de javelot masculin
Archery at the 2020 Summer Paralympics – Men's individual recurve open,Tir à l à Jeu paralympique d 2020 – Incursion individuel masculin
2021 Khabarovsk Krai gubernatorial election,Élection de gouverneur dans le territoire de Khabarovsk 2021
2021 Guerrero earthquake,Séisme de 2021 au Guerrero
Lord Mayor's Show,Spectacle de maire
All Jammu and Kashmir Muslim Conference,Tout le Conférence Musulman de Jammu-et-Cachemire
Nonylphenol ethoxylate,Nonylphénol éthoxylate
People's Power Party,Partir de pouvoir de peuple
2007 Nigerian general election,Élection général nigérian de 2007
Nigerian general election  2007,Élection général nigérian de 2007
1982–83 in English football,1982–83 en football angler
1982-83 in English football,1982-83 en football angler
crippled version,version estropié
lite version,version lite
damaged good,bon abîmé
Sanctuary of Truth,Sanctuaire de le vérité
Interstate 10 in California,Interstate 10 en Californie
Volkswagen Jetta II,Volkswagen Jetta II
2012 IIHF World Championship,Championnat mondial 2012 de l
AC Propulsion tzero,AC Propulsion tzero
AC Propulsion TZero,Propulsion AC tzero
AC Propulsion Tzero,Propulsion AC Tzero
AMD 700 chipset series,Série de chipset AMD 700
RD700 chipset series,Série de chipset RD700
AMD 7-Series Chipsets,Chipset AMD sérier 7
AMD Overdrive,AMD surmultiplier
AMD OverDrive,overdriv d
substitute good,remplacer bon
Rheinmetall KZO,Rheinmetall KZO
The Island on Bird Street,L sur le rue de oiseau
The Island on Birds Street,L sur le rue de oiseau
Monument of Liberty  Istanbul,Monument de le Liberté Istanbul
communication design,conception de le communication
communication arts,art de le communication
Prosecution offices of Ukraine,Bureau de procureur de l
State road 309,Route national 309
scientific ethics,éthique scientifique
ethics in science,l dans le science
ethics of science,éthique de le science
science ethics,éthique scientifique
Morality of science,Moralité de le science
Rumo and His Miraculous Adventures,Rumo et son aventure miraculeux
sustainability science,science de le durabilité
sustainability research,recherche sur le durabilité
The Anxiety of Influence,L de l
American University in Dubai,Université américain à Dubaï
Lin Shuangwen rebellion,Rébellion de Lin Shuangwen
Moscow Institute of Thermal Technology,Institut de technologie thermique de Moscou
Moscow Institute of Heat Engineering,Institut d thermique de Moscou
Lincoln Continental Mark III,Lincoln Continental Mark III
Ararat rebellion,Rébellion d
Horton Hatches the Egg,Horton hach l
His Master's Voice,Le voix de son maître
Triumph TR,Triumph TR
Iso Rivolta IR 300,Iso Rivolta IR 300
Flags of Our Fathers,Drapeau de notre Père
market fundamentalism,fondamentalisme de marché
free market fundamentalism,intégrisme de marché libre
GeGeGe no Nyōbō,GeGeGe pas Nyōbō
Japanese Residency-General of Korea,Résidence japonais-Général de Corée
Residency-General of Korea,Résidence général de le Corée
FIS Cup,Coupe FIS
Sharpe's Tiger,Le tigre de Sharpe
volleyball at the 1996 Summer Olympics – men's tournament,volley-ball à Jeu olympique d de 1996 – tournoi masculin
volleyball at the 1996 Summer Olympics - men's tournament,volley-ball à Jeu olympique d de 1996 - tournoi masculin
Unified Socialist Party of Mexico,Parti socialiste unifier de Mexique
historical geology,géologie historique
1978 Thessaloniki earthquake,Séisme de 1978 à Thessalonique
mid-engine design,conception de moteur intermédiaire
University of the Philippines–Philippine General Hospital,Université de Philippines–Hôpital général philippin
MacArthur Maze,Labyrinthe de MacArthur
Capital of the Netherlands,Capitale de Pays-Bas
Other Tales of the Flying Fox,Autre conte de renard voler
Brazil v Chile,Brésil v Chili
NHK FM Broadcast,Diffusion de le NHK FM
And to Think That I Saw It on Mulberry Street,Et de penser que je l voir sur Mulberry Street
Bolsa de Comercio de Santiago,Bolsa de Comercio de Santiago
Digital electronic computer,Ordinateur électronique numérique
Brave series,Série Brave
World of Watches,Le monde de l
The Moral Basis of a Backward Society,Le fondement moral d société rétrograde
National Commission of Telecommunications,Commission National de Télécommunications
first inauguration of Dwight D. Eisenhower,premier inauguration de Dwight D. Eisenhower
1st inauguration of Dwight D. Eisenhower,1ère inauguration de Dwight D. Eisenhower
2004–05 in English football,2004–05 en football angler
2004-05 in English football,2004-05 dans le football angler
sexual ethics,éthique sexuel
sexual morality,le morale sexuel
UEFA Euro 1992 Group 2,UEFA Euro 1992 Groupe 2
Twilight in the Forbidden City,Crépuscule dans le Cité Interdite
Mr. Popper's Penguins,Pingouin de Mr. Popper
Jōshin-etsu Expressway,Autoroute Jōshin-etsu
Joshin-etsu Expressway,Voie rapide Joshin-etsu
functional genomics,génomique fonctionnel
Interstate 55 in Illinois,Interstate 55 en Illinois
China University of Mining and Technology,Université chinois de mine et de le technologie
Power politics,Politique de pouvoir
Council for National Policy,Conseil pour le politique national
plant taxonomy,taxonomie de plante
plant classification,classification de plante
plant systematics,systématisation de plante
Crown Casino and Entertainment Complex,Crown Casino et Complexe de divertissement
Palladium at Crown,Palladium à le Couronne
The Discovery of Heaven,Le Découverte de Ciel
The Final Circle of Paradise,Le Cercle Final de Paradis
A Critique of Pure Tolerance,Un critique de le tolérance pur
My World and Welcome to It,Mon monde et bienvenue dans celui-ci
Volkswagen Touareg II,Volkswagen Touareg II
Beetle in the Anthill,Coccinelle dans le fourmilière
An Enquiry Concerning the Principles of Morals,Un enquête sur le principe de le morale
Sword of the Yue Maiden,Épée de le jeune fille Yue
terrestrial life,vie terrestre
Earthwork fortification,Fortification de terrassement
earth work,travail de le terre
Koruna česká,Koruna česká
fire-fighting sport,sport de lutte contre l
fire sport,sport de feu
2012 ICC Under-19 Cricket World Cup,Coupe de monde de cricket de moins de 19 an 2012
1974–75 in English football,1974-1975 en football angler
1974-75 in English football,1974-75 en football angler
UEFA Euro 1996 Group C,UEFA Euro 1996 Groupe C
UEFA Euro 2008 qualifier fan attack,Attaque de supporter de qualification de l 2008 de l
1303 Crete earthquake,1303 Séisme en Crète
Westminster International University in Tashkent,Université international de Westminster à Tachkent
Nissan Pulsar GTI-R,Nissan Pulsar GTI-R
Hochschule Fresenius University of Applied Sciences,Hochschule Freseniu Université de science appliquer
